Binance Futures Report 
Coin 	BuyDate 	CloseDate 	BuyPrice 	SellPrice 	ProfitUSDT 	Profit 	ProfitAbs 	Lev 	Comment 	SellReason 	Status 	dBTC 	d24BTC 	dM24 	Pump1H 	Dump1H 	d3h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
CHR 	2021-11-20 02:58:58 	2021-11-20 02:59:15 	1.14170000 	1.13810000 	-0.37 	-18.8% 	-18.76% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 26  AppLatency: 0.0 sec  API Req: 1216 / 2400   API Orders: 48 / 1200   Orders 10S: 8 / 300  PriceLag: 0.01% (KNC PriceLag: 0.03%) Latency: 223 / 223  Ping: 13 / 11 	StopLoss AutoActivated on price drop: BID = 1.1380 BidEMA: 1.1380 LastPrice = 1.1386 BuyPrice = 1.1417 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 1.1394 All 	done 	0 	1.81 	3.1 	2.1 	1.47 	3.65 	1.88 	1.56 	1.4 	0.04 	0 	0 	0.0 	0.0
GALA 	2021-11-20 02:26:14 	2021-11-20 02:26:21 	0.24360000 	0.24386000 	0.05 	0.9% 	0.93% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 3 Sys: 21  AppLatency: 0.0 sec  API Req: 312 / 2400   API Orders: 14 / 1200   Orders 10S: 11 / 300  PriceLag: 0.01% (REEF PriceLag: 0.01%) Latency: 218 / 218  Ping: 11 / 10 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.07% < 0.3%  | EMA(3sec, 1sec) = 0.06% < 0.4%  | EMA(3sec, 1sec) = 0.06%  EMA(3sec, 1sec) = 0.06% 	done 	0.7 	2.26 	3.51 	7.36 	0.22 	11.38 	4.39 	2.89 	1.98 	0.07 	0 	0 	0.0 	0.0
OCEAN 	2021-11-19 17:31:21 	2021-11-19 17:31:23 	0.91467000 	0.91923000 	0.46 	22.9% 	22.92% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 40  AppLatency: 0.0 sec  API Req: 465 / 2400   API Orders: 30 / 1200   Orders 10S: 5 / 300  PriceLag: 0.02% (KNC PriceLag: 0.03%) Latency: 218 / 218  Ping: 12 / 11 	Auto Price Down 	done 	-0.12 	0.94 	3.76 	0 	3.05 	8.91 	1.6 	1.36 	1.14 	0.22 	0.01 	0 	0.0 	0.0
KEEP 	2021-11-19 09:54:43 	2021-11-19 09:54:44 	0.78230000 	0.77710000 	-0.73 	-36.2% 	-36.21% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 31  AppLatency: 0.0 sec  API Req: 962 / 2400   API Orders: 30 / 1200   Orders 10S: 5 / 300  PriceLag: 0.01% (EOS PriceLag: 0.01%) Latency: 189 / 189  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 0.7763 BidEMA: 0.7763 LastPrice = 0.7767 BuyPrice = 0.7823 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.7768 All 	done 	-0.09 	-3.18 	-1.23 	17.87 	0.07 	25.73 	4.23 	4.1 	3.65 	0.09 	0 	0 	0.0 	0.0
STORJ 	2021-11-19 06:31:18 	2021-11-19 06:31:28 	1.91080000 	1.90360000 	-0.43 	-21.8% 	-21.83% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 2 Sys: 24  AppLatency: 0.0 sec  API Req: 394 / 2400   API Orders: 23 / 1200   Orders 10S: 9 / 300  PriceLag: 0.03% (DODO PriceLag: 0.04%) Latency: 271 / 271  Ping: 10 / 11 	StopLoss AutoActivated on price drop: BID = 1.9086 BidEMA: 1.9086 LastPrice = 1.9091 BuyPrice = 1.9108 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 1.9070 All 	done 	0.18 	-4.05 	-2.53 	9.84 	0.87 	15.12 	6.49 	2.48 	1.1 	0.16 	0 	0 	0.0 	0.0
GALA 	2021-11-18 19:44:09 	2021-11-18 19:44:10 	0.21618000 	0.20932000 	-3.23 	-64.6% 	-64.63% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 10 Sys: 55  AppLatency: 0.1 sec  API Req: 198 / 2400   API Orders: 16 / 1200   Orders 10S: 15 / 300  PriceLag: 0.02% (TLM PriceLag: 0.02%) Latency: 296 / 296  Ping: 22 / 24 	StopLoss AutoActivated on price drop: BID = 0.2100 BidEMA: 0.2100 LastPrice = 0.2100 BuyPrice = 0.2162 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.2147 All 	done 	0.94 	-2.83 	-4.85 	4.41 	5.2 	15.51 	8.42 	8.04 	3.8 	0.22 	0 	0 	0.0 	0.0
CELR 	2021-11-18 10:42:04 	2021-11-18 10:42:11 	0.11879000 	0.11906000 	0.17 	8.4% 	8.36% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 28  AppLatency: 0.0 sec  API Req: 84 / 2400   API Orders: 4 / 1200   Orders 10S: 3 / 300  PriceLag: 0.01% (STMX PriceLag: 0.02%) Latency: 222 / 222  Ping: 10 / 10 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.08% < 0.3%  | EMA(3sec, 1sec) = 0.07% < 0.4%  | EMA(3sec, 1sec) = 0.07%  EMA(3sec, 1sec) = 0.07% 	done 	-0.23 	-0.83 	-1.08 	1.21 	1.44 	6.55 	2.4 	1.69 	1.53 	0.11 	0.01 	0 	0.0 	0.0
AUDIO 	2021-11-18 08:20:41 	2021-11-18 08:20:41 	3.01450000 	3.03560000 	0.66 	13.2% 	13.19% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 19 Sys: 61  AppLatency: 0.1 sec  API Req: 1015 / 2400   API Orders: 96 / 1200   Orders 10S: 1 / 300  PriceLag: 0.01% (TLM PriceLag: 0.02%) Latency: 311 / 311  Ping: 34 / 36 	Sell Price 	done 	0.32 	-0.09 	-0.24 	9.86 	4.04 	74.98 	10.84 	10.37 	5.84 	0.1 	0 	0 	0.0 	0.0
AUDIO 	2021-11-18 08:01:25 	2021-11-18 08:01:26 	3.27860000 	3.30160000 	0.65 	13.2% 	13.22% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 32  AppLatency: 0.1 sec  API Req: 564 / 2400   API Orders: 32 / 1200   Orders 10S: 9 / 300  PriceLag: 0.01% (STMX PriceLag: 0.02%) Latency: 379 / 379  Ping: 19 / 22 	Sell Price 	done 	0 	-0.44 	-0.24 	7.12 	12.53 	74.98 	7.07 	6.47 	3.54 	0.05 	0 	0 	0.0 	0.0
AUDIO 	2021-11-18 07:31:16 	2021-11-18 07:31:16 	2.95630000 	2.97700000 	0.66 	13.2% 	13.2% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 12 Sys: 39  AppLatency: 0.1 sec  API Req: 333 / 2400   API Orders: 17 / 1200   Orders 10S: 7 / 300  PriceLag: 0.02% (KNC PriceLag: 0.03%) Latency: 313 / 313  Ping: 16 / 18 	Sell Price 	done 	0.05 	-0.39 	-0.2 	4.22 	14.48 	75.39 	6.63 	4.37 	4.37 	0.08 	0 	0 	0.0 	0.0
AUDIO 	2021-11-18 07:15:38 	2021-11-18 07:15:39 	3.19790000 	3.22030000 	0.65 	13.2% 	13.2% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 14 Sys: 38  AppLatency: 0.0 sec  API Req: 822 / 2400   API Orders: 53 / 1200   Orders 10S: 7 / 300  PriceLag: 0.01% (STMX PriceLag: 0.02%) Latency: 235 / 235  Ping: 10 / 10 	Sell Price 	done 	-0.05 	-0.43 	-0.16 	68.33 	1.22 	76.2 	13.18 	8.93 	5.54 	0.18 	0 	0 	0.0 	0.0
ALGO 	2021-11-18 07:01:22 	2021-11-18 07:01:23 	2.04650000 	2.06080000 	0.65 	32.9% 	32.92% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 18 Sys: 46  AppLatency: 0.1 sec  API Req: 480 / 2400   API Orders: 36 / 1200   Orders 10S: 8 / 300  PriceLag: 0.02% (TLM PriceLag: 0.02%) Latency: 297 / 304  Ping: 11 / 17 	Sell Price 	done 	-0.28 	-0.56 	-0.14 	69.8 	0.69 	72.3 	10.78 	6.63 	4.07 	0.16 	0 	0 	0.0 	0.0
ALGO 	2021-11-18 06:52:49 	2021-11-18 06:52:51 	2.06110000 	2.07130000 	0.45 	22.7% 	22.73% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 45  AppLatency: 0.0 sec  API Req: 1090 / 2400   API Orders: 83 / 1200   Orders 10S: 21 / 300  PriceLag: 0.02% (XEM PriceLag: 0.03%) Latency: 330 / 330  Ping: 10 / 10 	Auto Price Down 	done 	-0.03 	-0.22 	0.22 	70.53 	0.26 	72.3 	30.64 	7.99 	5 	0.07 	0 	0 	0.0 	0.0
ALGO 	2021-11-18 06:40:05 	2021-11-18 06:40:12 	2.41150000 	2.41870000 	0.26 	12.9% 	12.92% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 15 Sys: 55  AppLatency: 0.0 sec  API Req: 124 / 2400   API Orders: 14 / 1200   Orders 10S: 13 / 300  PriceLag: 0.03% (DODO PriceLag: 0.04%) Latency: 288 / 288  Ping: 10 / 10 	Auto Price Down 	done 	-0.27 	-0.44 	0.23 	68.9 	1.21 	71.04 	60.34 	15.21 	8.24 	0.15 	0 	0 	0.0 	0.0
MKR 	2021-11-18 06:35:42 	2021-11-18 06:35:50 	3124.30000000 	3096.00000000 	-0.97 	-48.3% 	-48.26% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 39  AppLatency: 0.0 sec  API Req: 953 / 2400   API Orders: 70 / 1200   Orders 10S: 3 / 300  PriceLag: 0.01% (TLM PriceLag: 0.02%) Latency: 207 / 207  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 3095.70 BidEMA: 3095.70 LastPrice = 3099.20 BuyPrice = 3124.30 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 3102.4 	done 	-0.3 	-0.35 	0.64 	15.19 	0.64 	15.96 	15.92 	10.49 	2.9 	0.11 	0 	0 	0.0 	0.0
IOTA 	2021-11-18 06:32:54 	2021-11-18 06:32:58 	1.33950000 	1.34350000 	0.26 	12.9% 	12.93% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 13 Sys: 72  AppLatency: 0.1 sec  API Req: 1256 / 2400   API Orders: 254 / 1200   Orders 10S: 20 / 300  PriceLag: 0.02% (TLM PriceLag: 0.02%) Latency: 387 / 387  Ping: 49 / 55 	Auto Price Down 	done 	-0.38 	-0.41 	0.31 	0 	4.31 	5.62 	3.76 	3.8 	2.89 	0.25 	0.05 	0 	0.0 	0.0
ALGO 	2021-11-18 06:32:39 	2021-11-18 06:32:39 	2.48910000 	2.50710000 	0.66 	33.1% 	33.14% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 16 Sys: 65  AppLatency: 0.2 sec  API Req: 922 / 2400   API Orders: 161 / 1200   Orders 10S: 24 / 300  PriceLag: 0.02% (KNC PriceLag: 0.03%) Latency: 289 / 289  Ping: 22 / 22 	Sell Price 	done 	-0.37 	-0.39 	0.35 	69.11 	1.09 	71.04 	70.94 	23.35 	11.89 	0.22 	2.51 	0 	0.0 	0.0
FIL 	2021-11-18 06:27:51 	2021-11-18 06:27:54 	55.96600000 	56.24500000 	0.46 	22.9% 	22.92% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 14 Sys: 63  AppLatency: 0.1 sec  API Req: 1144 / 2400   API Orders: 189 / 1200   Orders 10S: 1 / 300  PriceLag: 0.01% (KNC PriceLag: 0.03%) Latency: 218 / 218  Ping: 61 / 72 	Auto Price Down 	done 	-0.17 	-0.16 	1.35 	3.78 	0.54 	4.42 	1.22 	3.44 	2.94 	0.25 	0 	0 	0.0 	0.0
MASK 	2021-11-18 06:27:15 	2021-11-18 06:27:16 	11.73520000 	11.22650000 	-4.64 	-87.8% 	-87.84% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 41 Sys: 93  AppLatency: 0.2 sec  API Req: 338 / 2400   API Orders: 50 / 1200   Orders 10S: 21 / 300  PriceLag: 0.02% (KNC PriceLag: 0.03%) Latency: 252 / 252  Ping: 33 / 42 	StopLoss AutoActivated on price drop: BID = 11.686 BidEMA: 11.686 LastPrice = 11.687 BuyPrice = 11.735 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 11.653 All 	done 	-0.05 	-0.04 	1.76 	2.01 	3.27 	4.35 	4.35 	4.55 	4.02 	0.19 	0 	0 	0.0 	0.0
STMX 	2021-11-17 22:16:07 	2021-11-17 22:16:12 	0.03322000 	0.03309000 	-0.45 	-22.6% 	-22.55% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 32  AppLatency: 0.0 sec  API Req: 179 / 2400   API Orders: 8 / 1200   Orders 10S: 7 / 300  PriceLag: 0.02% (KNC PriceLag: 0.03%) Latency: 218 / 218  Ping: 11 / 13 	StopLoss AutoActivated on price drop: BID = 0.03327 BidEMA: 0.03327 LastPrice = 0.03328 BuyPrice = 0.03322 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.0331 	done 	-0.25 	0.34 	0.44 	3.32 	1.22 	4.59 	3.22 	2.29 	1.81 	0.06 	0 	0 	0.0 	0.0
IOTX 	2021-11-17 21:50:30 	2021-11-17 21:50:35 	0.19351000 	0.19392000 	0.15 	3.0% 	3.04% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 40  AppLatency: 0.0 sec  API Req: 674 / 2400   API Orders: 45 / 1200   Orders 10S: 5 / 300  PriceLag: 0.03% (DODO PriceLag: 0.04%) Latency: 241 / 241  Ping: 10 / 14 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.09% < 0.3%  | EMA(3sec, 1sec) = 0.05% < 0.4%  | EMA(3sec, 1sec) = 0.05%  EMA(3sec, 1sec) = 0.05% 	done 	-0.41 	0.38 	0.35 	0.38 	1.54 	4.38 	0.84 	1.81 	1.16 	0.07 	0.01 	0 	0.0 	0.0
GALA 	2021-11-17 08:31:19 	2021-11-17 08:31:21 	0.15433000 	0.15510000 	0.46 	9.2% 	9.17% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 13 Sys: 51  AppLatency: 0.1 sec  API Req: 411 / 2400   API Orders: 19 / 1200   Orders 10S: 5 / 300  PriceLag: 0.02% (BZRX PriceLag: 0.02%) Latency: 227 / 227  Ping: 10 / 10 	Auto Price Down 	done 	0.09 	-1.04 	-1.9 	23.03 	1.51 	42.91 	6.51 	6.28 	2.37 	0.08 	0 	0 	0.0 	0.0
CHR 	2021-11-17 04:01:28 	2021-11-17 04:01:54 	1.13730000 	1.13440000 	-0.32 	-15.7% 	-15.74% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 12 Sys: 49  AppLatency: 0.1 sec  API Req: 658 / 2400   API Orders: 65 / 1200   Orders 10S: 20 / 300  PriceLag: 0.03% (BEL PriceLag: 0.04%) Latency: 248 / 248  Ping: 24 / 24 	StopLoss AutoActivated on price drop: BID = 1.1344 BidEMA: 1.1344 LastPrice = 1.1345 BuyPrice = 1.1373 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 1.1350 All 	done 	-0.66 	-2.04 	-2.63 	4.83 	2.03 	8.95 	5.99 	2.31 	2.31 	0.2 	0 	0 	0.0 	0.0
BLZ 	2021-11-16 19:32:29 	2021-11-16 19:32:40 	0.32729000 	0.32776878 	0.09 	4.3% 	4.31% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 14 Sys: 64  AppLatency: 4.1 sec  API Req: 584 / 2400   API Orders: 69 / 1200   Orders 10S: 28 / 300  PriceLag: 0.02% (AKRO PriceLag: 0.02%) Latency: 345 / 350  Ping: 789 / 595 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.10% < 0.3%  | EMA(3sec, 1sec) = 0.09% < 0.4%  | EMA(3sec, 1sec) = 0.09%  EMA(3sec, 1sec) = 0.09% 	done 	-0.6 	-2.6 	-3.58 	0.28 	1.57 	18.97 	1.64 	2.29 	1.66 	0.33 	0 	0 	0.0 	0.0
DYDX 	2021-11-16 12:09:24 	2021-11-16 12:09:33 	11.83100000 	11.91400000 	0.66 	13.2% 	13.23% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 23 Sys: 99  AppLatency: 0.3 sec  API Req: 353 / 2400   API Orders: 4 / 1200   Orders 10S: 3 / 300  PriceLag: 0.01% (ALGO PriceLag: 0.15%) Latency: 747 / 778  Ping: 576 / 728 	Auto Price Down 	done 	-1.92 	-6.52 	-9.88 	0.57 	10.66 	12.42 	11.31 	10.55 	5.17 	0.83 	4 	0 	0.0 	0.0
NEAR 	2021-11-16 12:08:45 	2021-11-16 12:08:50 	9.51550000 	9.47960000 	-0.42 	-21.9% 	-21.85% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 19 Sys: 79  AppLatency: 0.2 sec  API Req: 1053 / 2400   API Orders: 173 / 1200   Orders 10S: 14 / 300  PriceLag: 0.02% (ALGO PriceLag: 0.15%) Latency: 433 / 433  Ping: 36 / 38 	StopLoss AutoActivated on price drop: BID = 9.4902 BidEMA: 9.4902 LastPrice = 9.4944 BuyPrice = 9.5155 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 9.5155 All 	done 	-1.34 	-5.95 	-8.93 	0.14 	7.57 	6.67 	6.45 	5.15 	2.3 	0.35 	0.02 	0 	0.0 	0.0
RVN 	2021-11-16 12:00:56 	2021-11-16 12:01:02 	0.11508000 	0.11543000 	0.26 	13.2% 	13.2% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 19 Sys: 81  AppLatency: 0.1 sec  API Req: 1262 / 2400   API Orders: 160 / 1200   Orders 10S: 26 / 300  PriceLag: 0.02% (CTK PriceLag: 0.03%) Latency: 329 / 329  Ping: 55 / 62 	Auto Price Down 	done 	-0.85 	-5.21 	-6.7 	1.57 	3.43 	4.19 	2.71 	2.74 	1.83 	0.33 	0 	0 	0.0 	0.0
GALA 	2021-11-16 08:28:46 	2021-11-16 08:28:54 	0.12497000 	0.12495000 	-0.08 	-1.5% 	-1.52% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 22  AppLatency: 0.0 sec  API Req: 1028 / 2400   API Orders: 76 / 1200   Orders 10S: 17 / 300  PriceLag: 0.01% (BTT PriceLag: 0.01%) Latency: 223 / 223  Ping: 14 / 13 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.17% < 0.3%  | EMA(3sec, 1sec) = 0.14% < 0.4%  | EMA(3sec, 1sec) = 0.14%  EMA(3sec, 1sec) = 0.14% 	done 	-0.59 	-5.34 	-6.65 	3.11 	2.3 	13.65 	2.3 	3.64 	3.22 	0.09 	0 	0 	0.0 	0.0
TRX 	2021-11-16 05:29:22 	2021-11-16 05:29:31 	0.11266000 	0.11265000 	-0.07 	-3.4% 	-3.44% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 24 Sys: 93  AppLatency: 0.3 sec  API Req: 539 / 2400   API Orders: 70 / 1200   Orders 10S: 13 / 300  PriceLag: 0.03% (DODO PriceLag: 0.03%) Latency: 624 / 624  Ping: 96 / 138 	StopLoss AutoActivated on price drop: BID = 0.1125 BidEMA: 0.1125 LastPrice = 0.1126 BuyPrice = 0.1127 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.1127 All 	done 	-1.5 	-5.93 	-7.47 	0.04 	4.01 	9 	3.45 	2.66 	1.87 	0.77 	0.01 	0 	0.0 	0.0
GALA 	2021-11-15 22:01:25 	2021-11-15 22:01:30 	0.11305000 	0.11339000 	0.26 	5.2% 	5.21% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 39  AppLatency: 0.0 sec  API Req: 552 / 2400   API Orders: 18 / 1200   Orders 10S: 4 / 300  PriceLag: 0.01% (BLZ PriceLag: 0.01%) Latency: 327 / 327  Ping: 11 / 12 	Auto Price Down 	done 	0.24 	-1.46 	-0.99 	17.92 	0.26 	20.81 	18.23 	5.36 	2.95 	0.05 	0 	0 	0.0 	0.0
IOTX 	2021-11-15 09:02:28 	2021-11-15 09:02:29 	0.21245000 	0.21351000 	0.46 	9.2% 	9.17% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 22  AppLatency: 0.0 sec  API Req: 485 / 2400   API Orders: 15 / 1200   Orders 10S: 7 / 300  PriceLag: 0.01% (CRV PriceLag: 0.01%) Latency: 238 / 238  Ping: 14 / 14 	Auto Price Down 	done 	-0.04 	1.47 	1.22 	0.99 	0.61 	4.94 	0.82 	2.96 	2.57 	0.05 	0 	0 	0.0 	0.0
CVC 	2021-11-14 21:26:15 	2021-11-14 21:26:16 	0.49414000 	0.49025000 	-0.85 	-42.3% 	-42.34% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 21  AppLatency: 0.0 sec  API Req: 266 / 2400   API Orders: 12 / 1200   Orders 10S: 8 / 300  PriceLag: 0.01% (DGB PriceLag: 0.01%) Latency: 191 / 191  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 0.4902 BidEMA: 0.4902 LastPrice = 0.4904 BuyPrice = 0.4941 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.4907 All 	done 	0.03 	-0.65 	-1.01 	6.13 	0.03 	6.16 	4.98 	3.51 	2.36 	0.08 	0 	0 	0.0 	0.0
ICP 	2021-11-14 19:31:02 	2021-11-14 19:31:02 	46.61000000 	46.94000000 	0.67 	33.4% 	33.39% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 10 Sys: 26  AppLatency: 0.0 sec  API Req: 35 / 2400   API Orders: 2 / 1200   Orders 10S: 1 / 300  PriceLag: 0.02% (DODO PriceLag: 0.03%) Latency: 180 / 180  Ping: 10 / 10 	Sell Price 	done 	-0.16 	-1.16 	-1.72 	0.8 	2.85 	5.26 	1.97 	2.32 	1.85 	0.13 	0 	0 	0.0 	0.0
SAND 	2021-11-14 16:46:31 	2021-11-14 16:46:36 	2.77922000 	2.78756000 	0.26 	13.0% 	13.0% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 7 Sys: 32  AppLatency: 0.0 sec  API Req: 645 / 2400   API Orders: 72 / 1200   Orders 10S: 3 / 300  PriceLag: 0.01% (C98 PriceLag: 0.01%) Latency: 256 / 256  Ping: 11 / 10 	Auto Price Down 	done 	-0.35 	-0.31 	-0.25 	0.21 	2.64 	3.98 	1.52 	1.84 	1.68 	0.06 	0 	0 	0.0 	0.0
GALA 	2021-11-14 15:01:28 	2021-11-14 15:01:39 	0.09360000 	0.09375000 	0.1 	2.0% 	2.0% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 15 Sys: 33  AppLatency: 0.1 sec  API Req: 513 / 2400   API Orders: 22 / 1200   Orders 10S: 13 / 300  PriceLag: 0.02% (ZRX PriceLag: 0.02%) Latency: 417 / 417  Ping: 37 / 39 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.07% < 0.3%  | EMA(3sec, 1sec) = 0.06% < 0.4%  | EMA(3sec, 1sec) = 0.06%  EMA(3sec, 1sec) = 0.06% 	done 	0.17 	0.22 	0.43 	1.88 	0.79 	4.56 	1.76 	1.57 	1.07 	0.02 	0 	0 	0.0 	0.0
ATA 	2021-11-14 14:48:36 	2021-11-14 14:48:37 	1.35540000 	1.33940000 	-1.24 	-24.8% 	-24.79% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 21  AppLatency: 0.0 sec  API Req: 725 / 2400   API Orders: 51 / 1200   Orders 10S: 6 / 300  PriceLag: 0.01% (NU PriceLag: 0.01%) Latency: 202 / 202  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 1.3637 BidEMA: 1.3637 LastPrice = 1.3644 BuyPrice = 1.3554 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 1.3459 All 	done 	0.34 	0.37 	0.5 	4.16 	0.48 	5.81 	4.23 	2.62 	2.62 	0.13 	0 	0 	0.0 	0.0
IOTX 	2021-11-14 11:01:29 	2021-11-14 11:01:34 	0.23850000 	0.23922000 	0.26 	5.2% 	5.24% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 18  AppLatency: 0.0 sec  API Req: 562 / 2400   API Orders: 26 / 1200   Orders 10S: 10 / 300  PriceLag: 0.03% (KNC PriceLag: 0.03%) Latency: 222 / 222  Ping: 10 / 11 	Auto Price Down 	done 	-0.28 	-0.2 	-0.24 	15.16 	1.28 	22.07 	4.42 	2.61 	1.61 	0.09 	0 	0 	0.0 	0.0
NU 	2021-11-14 04:31:25 	2021-11-14 04:31:27 	1.13390000 	1.13945000 	0.43 	8.6% 	8.58% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 18  AppLatency: 0.0 sec  API Req: 426 / 2400   API Orders: 19 / 1200   Orders 10S: 9 / 300  PriceLag: 0.02% (KNC PriceLag: 0.03%) Latency: 271 / 271  Ping: 10 / 10 	Auto Price Down 	done 	0.03 	1.12 	0.89 	1.77 	3.86 	20.48 	1.52 	2.26 	2 	0.07 	0.01 	0 	0.0 	0.0
AR 	2021-11-14 03:35:14 	2021-11-14 03:35:34 	70.63400000 	70.52700000 	-0.21 	-4.2% 	-4.23% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 7 Sys: 33  AppLatency: 0.0 sec  API Req: 303 / 2400   API Orders: 32 / 1200   Orders 10S: 17 / 300  PriceLag: 0.01% (ONE PriceLag: 0.01%) Latency: 239 / 239  Ping: 10 / 10 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.07% < 0.3%  | EMA(3sec, 1sec) = 0.07% < 0.4%  | EMA(3sec, 1sec) = 0.07%  EMA(3sec, 1sec) = 0.07% 	done 	-0.35 	1.07 	0.54 	0.44 	2.41 	4.71 	1.84 	1.82 	1.35 	0.08 	0 	0 	0.0 	0.0
