Binance Futures Report 
Coin 	BuyDate 	CloseDate 	BuyPrice 	SellPrice 	ProfitUSDT 	Profit 	ProfitAbs 	Lev 	Comment 	SellReason 	Status 	dBTC 	d24BTC 	dM24 	Pump1H 	Dump1H 	d3h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
SFP 	2021-12-05 02:26:17 	2021-12-05 02:26:20 	1.89720000 	1.90290000 	0.26 	13.0% 	13.02% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 26  AppLatency: 0.0 sec  API Req: 335 / 2400   API Orders: 27 / 1200   Orders 10S: 20 / 300  PriceLag: 0.03% (KNC PriceLag: 0.03%) Latency: 196 / 196  Ping: 15 / 15 	Auto Price Down 	done 	0.49 	0.72 	1.93 	2.1 	2.11 	5.35 	3.8 	3.13 	2.17 	0.23 	0 	0 	0.0 	0.0
FTM 	2021-12-04 22:46:29 	2021-12-04 22:46:32 	1.69883000 	1.70730000 	0.46 	22.9% 	22.92% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 12 Sys: 38  AppLatency: 0.0 sec  API Req: 373 / 2400   API Orders: 2 / 1200   Orders 10S: 1 / 300  PriceLag: 0.01% (XMR PriceLag: 0.01%) Latency: 248 / 248  Ping: 14 / 16 	Auto Price Down 	done 	-0.11 	-0.98 	-1.28 	0.56 	1.71 	8.83 	2.33 	2.62 	2.12 	0.14 	0 	0 	0.0 	0.0
NEAR 	2021-12-04 06:44:01 	2021-12-04 06:44:02 	8.32950000 	8.38780000 	0.66 	33.0% 	32.98% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 12 Sys: 47  AppLatency: 0.1 sec  API Req: 18 / 2400   API Orders: 4 / 1200   Orders 10S: 3 / 300  PriceLag: 0.03% (C98 PriceLag: 0.03%) Latency: 283 / 283  Ping: 40 / 38 	Sell Price 	done 	-0.72 	-5.92 	-9.75 	0 	4.14 	8.11 	3.09 	2.43 	2.23 	0.33 	0 	0 	0.0 	0.0
ALICE 	2021-12-04 05:59:52 	2021-12-04 06:00:03 	17.06000000 	16.93800000 	-0.78 	-38.7% 	-38.73% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 21 Sys: 65  AppLatency: 0.1 sec  API Req: 733 / 2400   API Orders: 31 / 1200   Orders 10S: 2 / 300  PriceLag: 0.02% (BAKE PriceLag: 0.02%) Latency: 301 / 301  Ping: 218 / 305 	StopLoss AutoActivated on price drop: BID = 16.900 BidEMA: 16.900 LastPrice = 16.947 BuyPrice = 17.060 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 17.026 All 	done 	-1.16 	-5.98 	-9.58 	0.21 	6.29 	8.99 	4.09 	3.63 	1.91 	0.22 	0 	0 	0.0 	0.0
FIL 	2021-12-04 03:01:36 	2021-12-04 03:01:43 	46.59900000 	46.04100000 	-1.23 	-62.8% 	-62.84% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 19 Sys: 71  AppLatency: 0.1 sec  API Req: 506 / 2400   API Orders: 20 / 1200   Orders 10S: 11 / 300  PriceLag: 0.01% (ICP PriceLag: 0.01%) Latency: 308 / 308  Ping: 491 / 515 	StopLoss AutoActivated on price drop: BID = 46.044 BidEMA: 46.044 LastPrice = 46.092 BuyPrice = 46.599 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 46.273 All 	done 	-1.24 	-5.27 	-8.11 	0.06 	5.82 	5.87 	3.36 	4.51 	3.69 	0.33 	0 	0 	0.0 	0.0
BAT 	2021-12-03 23:27:45 	2021-12-03 23:27:52 	1.27620000 	1.27790000 	0.07 	3.7% 	3.66% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 7 Sys: 26  AppLatency: 0.0 sec  API Req: 789 / 2400   API Orders: 58 / 1200   Orders 10S: 4 / 300  PriceLag: 0.02% (ANKR PriceLag: 0.02%) Latency: 219 / 219  Ping: 10 / 12 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.13% < 0.3%  | EMA(3sec, 1sec) = 0.11% < 0.4%  | EMA(3sec, 1sec) = 0.11%  EMA(3sec, 1sec) = 0.11% 	done 	0.78 	-4.25 	-3.85 	2.71 	0.75 	9.65 	0.9 	1.95 	1.85 	0.19 	0 	0 	0.0 	0.0
ICP 	2021-12-03 22:03:05 	2021-12-03 22:03:12 	37.24000000 	36.61000000 	-1.73 	-87.5% 	-87.54% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 14 Sys: 71  AppLatency: 0.2 sec  API Req: 69 / 2400   API Orders: 7 / 1200   Orders 10S: 6 / 300  PriceLag: 0.02% (BTS PriceLag: 0.03%) Latency: 330 / 330  Ping: 109 / 101 	StopLoss AutoActivated on price drop: BID = 36.700 BidEMA: 36.700 LastPrice = 36.770 BuyPrice = 37.240 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 36.979 All 	done 	-1.34 	-5.02 	-5.65 	0.25 	4.33 	4.04 	2.7 	4.63 	3.5 	0.22 	0 	0 	0.0 	0.0
CELR 	2021-12-03 22:02:58 	2021-12-03 22:03:11 	0.10079000 	0.09979000 	-1.05 	-52.6% 	-52.58% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 23 Sys: 80  AppLatency: 0.3 sec  API Req: 813 / 2400   API Orders: 19 / 1200   Orders 10S: 15 / 300  PriceLag: 0.02% (BTS PriceLag: 0.03%) Latency: 330 / 330  Ping: 275 / 275 	StopLoss AutoActivated on price drop: BID = 0.1000 BidEMA: 0.1000 LastPrice = 0.1000 BuyPrice = 0.1008 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.1001 All 	done 	-1.33 	-5.01 	-5.56 	0.28 	2.5 	4.94 	1.72 	2.75 	2.02 	0.22 	0 	0 	0.0 	0.0
CELR 	2021-12-03 18:06:45 	2021-12-03 18:06:47 	0.10377000 	0.10429000 	0.46 	23.0% 	23.05% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 19 Sys: 70  AppLatency: 0.1 sec  API Req: 652 / 2400   API Orders: 37 / 1200   Orders 10S: 1 / 300  PriceLag: 0.03% (DODO PriceLag: 0.04%) Latency: 377 / 377  Ping: 118 / 118 	Auto Price Down 	done 	-0.96 	-1.89 	-2.29 	1.14 	1.85 	4.8 	1.72 	2.41 	1.67 	0.28 	0 	0 	0.0 	0.0
GTC 	2021-12-02 05:07:44 	2021-12-02 05:07:49 	15.15000000 	15.05000000 	-0.72 	-36.0% 	-35.98% 	1 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 15 Sys: 54  AppLatency: 0.0 sec  API Req: 586 / 2400   API Orders: 1 / 1200  PriceLag: 0.01% (ZIL PriceLag: 0.02%) Latency: 244 / 244  Ping: 15 / 15 	StopLoss AutoActivated on price drop: BID = 15.093 BidEMA: 15.093 LastPrice = 15.097 BuyPrice = 15.150 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 15.120 All 	done 	-0.68 	-1.35 	-3.6 	0.01 	4.03 	6.69 	3.13 	4.12 	2.93 	0.27 	0 	0 	0.0 	0.0
